{'text': "it's cool", 'start': 0.0, 'duration': 4.08}
{'text': 'says exactly women in this country can', 'start': 618.24, 'duration': 3.2}
{'text': 'do acts i completely get that for a', 'start': 619.839, 'duration': 2.961}
{'text': "second it's also country you're only", 'start': 621.44, 'duration': 2.16}
{'text': "talking about america because you're", 'start': 622.8, 'duration': 1.84}
{'text': "american you don't see outside of the", 'start': 623.6, 'duration': 2.88}
{'text': "world that's fine i'm turkish actually i", 'start': 624.64, 'duration': 3.68}
{'text': "grew up in turkey that's not the point", 'start': 626.48, 'duration': 2.96}
{'text': "that's not the point i'm making point", 'start': 628.32, 'duration': 4.199}
{'text': "i'm making", 'start': 629.44, 'duration': 3.079}
{'text': "that's bad", 'start': 637.839, 'duration': 2.801}
{'text': "listen bro you're all you americans are", 'start': 639.12, 'duration': 3.44}
{'text': "the same i'm not american that was", 'start': 640.64, 'duration': 3.28}
{'text': 'actually a very american thing for', 'start': 642.56, 'duration': 2.64}
{'text': 'andrew to say', 'start': 643.92, 'duration': 3.2}
{'text': "which is funny because i think isn't it", 'start': 645.2, 'duration': 3.84}
{'text': 'from like england or whatever', 'start': 647.12, 'duration': 3.12}
{'text': 'is to assume that every other person', 'start': 649.04, 'duration': 3.919}
{'text': "he's talking to is american but", 'start': 650.24, 'duration': 3.839}
{'text': "i'm uncomfortable with a woman driving", 'start': 652.959, 'duration': 2.481}
{'text': 'and if you actually ask most women if it', 'start': 654.079, 'duration': 2.481}
{'text': 'gets late at night or it starts getting', 'start': 655.44, 'duration': 2.72}
{'text': 'dark or starts raining heavily or the', 'start': 656.56, 'duration': 3.12}
{'text': 'parking gets difficult they usually ask', 'start': 658.16, 'duration': 2.72}
{'text': 'the man to drive themselves i know many', 'start': 659.68, 'duration': 2.32}
{'text': "women who do that they're not offended", 'start': 660.88, 'duration': 2.72}
{'text': 'by my assumption i know those women go', 'start': 662.0, 'duration': 2.959}
{'text': "oh i don't want to park you park it", 'start': 663.6, 'duration': 2.16}
{'text': "there's not a bad thing about it who", 'start': 664.959, 'duration': 1.841}
{'text': "gives a [\xa0__\xa0] right you're living a big", 'start': 665.76, 'duration': 2.639}
{'text': "deal you've come on here deciding you", 'start': 666.8, 'duration': 2.719}
{'text': 'really want to stick up for the chicks', 'start': 668.399, 'duration': 1.921}
{'text': 'and maybe you know one of them will', 'start': 669.519, 'duration': 2.401}
{'text': "drive over to your house it's cool we've", 'start': 670.32, 'duration': 3.92}
{'text': "got better things i don't think", 'start': 671.92, 'duration': 4.0}
{'text': "i don't think i need to be a male", 'start': 674.24, 'duration': 3.279}
{'text': 'feminist to be able to attract women', 'start': 675.92, 'duration': 2.4}
{'text': 'okay', 'start': 677.519, 'duration': 3.121}
{'text': 'however having said that having said', 'start': 678.32, 'duration': 4.48}
{'text': 'that that was a funny implication having', 'start': 680.64, 'duration': 5.439}
{'text': 'said that you are failing to recognize', 'start': 682.8, 'duration': 4.8}
{'text': 'on looks you could attack somebody like', 'start': 686.079, 'duration': 3.121}
{'text': "me with that but that's why would you", 'start': 687.6, 'duration': 4.799}
{'text': 'say that to something like hassan', 'start': 689.2, 'duration': 3.199}
{'text': "it's kind of funny because i assume", 'start': 693.92, 'duration': 2.24}
{'text': 'hassan would have gotten crushed in this', 'start': 694.959, 'duration': 2.88}
{'text': 'conversation because tay could like', 'start': 696.16, 'duration': 5.239}
{'text': 'threaten his masculinity', 'start': 697.839, 'duration': 3.56}
{'text': "but i don't actually know how fragile", 'start': 702.64, 'duration': 3.6}
{'text': "hassan's masculinity is hassan has a lot", 'start': 704.0, 'duration': 4.48}
{'text': 'of fragility in his life related to his', 'start': 706.24, 'duration': 4.64}
{'text': 'fame clout money all of that [\xa0__\xa0]', 'start': 708.48, 'duration': 4.159}
{'text': "audience streaming i don't know if", 'start': 710.88, 'duration': 3.28}
{'text': 'hassan has fragility about his', 'start': 712.639, 'duration': 5.041}
{'text': 'masculinity though whereas kate', 'start': 714.16, 'duration': 4.96}
{'text': 'i feel like a lot of these ideologies', 'start': 717.68, 'duration': 2.88}
{'text': 'sometimes can be wrapped up in a lot of', 'start': 719.12, 'duration': 3.6}
{'text': 'male fragility', 'start': 720.56, 'duration': 3.68}
{'text': "so it's kind of funny to watch him throw", 'start': 722.72, 'duration': 3.84}
{'text': "that like you're a virgin at like hassan", 'start': 724.24, 'duration': 4.48}
{'text': "and it's like bro", 'start': 726.56, 'duration': 4.399}
{'text': 'come on dude like even if it was true', 'start': 728.72, 'duration': 3.679}
{'text': "just like look at him that's not an", 'start': 730.959, 'duration': 3.921}
{'text': 'insult that you can use', 'start': 732.399, 'duration': 4.721}
{'text': 'guys what i am trying to say i walk you', 'start': 734.88, 'duration': 4.72}
{'text': 'through these steps slowly but surely', 'start': 737.12, 'duration': 3.92}
{'text': 'the thing is the dalmatian example that', 'start': 739.6, 'duration': 3.039}
{'text': 'you gave is great', 'start': 741.04, 'duration': 3.919}
{'text': "why is it great he's also like his son", 'start': 742.639, 'duration': 3.76}
{'text': 'is just like son looks almost like', 'start': 744.959, 'duration': 3.68}
{'text': "artistically like bro i'm just trying to", 'start': 746.399, 'duration': 3.68}
{'text': 'talk to you about this thing and i just', 'start': 748.639, 'duration': 2.64}
{'text': "want to let you know blah blah blah it's", 'start': 750.079, 'duration': 2.161}
{'text': "like i don't know i don't know what you", 'start': 751.279, 'duration': 2.721}
{'text': 'said', 'start': 752.24, 'duration': 3.279}
{'text': "like this guy's like losing he's like", 'start': 754.0, 'duration': 2.48}
{'text': 'like', 'start': 755.519, 'duration': 3.361}
{'text': "he's losing it too", 'start': 756.48, 'duration': 4.24}
{'text': 'because', 'start': 758.88, 'duration': 4.079}
{'text': 'you are creating now a hypothetical', 'start': 760.72, 'duration': 4.64}
{'text': 'scenario in which you want your opponent', 'start': 762.959, 'duration': 4.721}
{'text': 'to concede i can do the exact same thing', 'start': 765.36, 'duration': 4.4}
{'text': 'and say well in my personal experience', 'start': 767.68, 'duration': 4.32}
{'text': 'dalmatians never bite or pitbulls never', 'start': 769.76, 'duration': 3.28}
{'text': 'bite whichever one you thought was the', 'start': 772.0, 'duration': 2.56}
{'text': 'more aggressive breed right in my', 'start': 773.04, 'duration': 3.28}
{'text': 'personal experience what if in a million', 'start': 774.56, 'duration': 3.6}
{'text': 'times that i have bred pit bulls or been', 'start': 776.32, 'duration': 3.04}
{'text': 'around pitbulls not a single one of them', 'start': 778.16, 'duration': 3.04}
{'text': 'has ever been aggressive we will never', 'start': 779.36, 'duration': 3.84}
{'text': 'be able to arrive at a meaningful', 'start': 781.2, 'duration': 3.199}
{'text': 'solution or a resolution to this', 'start': 783.2, 'duration': 3.6}
{'text': "conversation if we're both operating on", 'start': 784.399, 'duration': 4.24}
{'text': 'personal anecdotes and hypotheticals', 'start': 786.8, 'duration': 3.839}
{'text': 'that is not how you can conduct an', 'start': 788.639, 'duration': 3.921}
{'text': "appropriate debate good so now you're", 'start': 790.639, 'duration': 3.2}
{'text': 'saying the thing i just said i have my', 'start': 792.56, 'duration': 2.56}
{'text': 'own biases my personal experiences and i', 'start': 793.839, 'duration': 2.401}
{'text': 'say them some people disagree and some', 'start': 795.12, 'duration': 2.399}
{'text': "people agree and i don't care you know", 'start': 796.24, 'duration': 2.399}
{'text': 'come along', 'start': 797.519, 'duration': 2.401}
{'text': "wrong though because i'm not operating", 'start': 798.639, 'duration': 2.481}
{'text': 'on biases when i talk about women', 'start': 799.92, 'duration': 2.719}
{'text': "driving i'm talking about the empirical", 'start': 801.12, 'duration': 2.959}
{'text': 'evidence i might have personally thought', 'start': 802.639, 'duration': 2.801}
{'text': 'women are worse at driving than men as', 'start': 804.079, 'duration': 3.44}
{'text': 'well but once you arrive at once you', 'start': 805.44, 'duration': 4.079}
{'text': 'look at the evidence and you realize', 'start': 807.519, 'duration': 3.76}
{'text': 'that uh said evidence suggests something', 'start': 809.519, 'duration': 3.201}
{'text': "else you're probably not going to", 'start': 811.279, 'duration': 2.721}
{'text': 'continue believing the prior thing that', 'start': 812.72, 'duration': 2.48}
{'text': 'you believed right', 'start': 814.0, 'duration': 2.88}
{'text': 'we went over the same point like five', 'start': 815.2, 'duration': 3.439}
{'text': "times i know but it's just it's just", 'start': 816.88, 'duration': 3.44}
{'text': "weird because i can't like i can't break", 'start': 818.639, 'duration': 3.841}
{'text': 'through uh', 'start': 820.32, 'duration': 3.519}
{'text': 'this dude is like', 'start': 822.48, 'duration': 2.88}
{'text': "now they're like both talking over them", 'start': 823.839, 'duration': 3.12}
{'text': "and he's like trying to scream and get", 'start': 825.36, 'duration': 3.279}
{'text': "some [\xa0__\xa0] word and he's so mad down", 'start': 826.959, 'duration': 4.0}
{'text': "here andrew's uh wait wait watch", 'start': 828.639, 'duration': 3.76}
{'text': 'watch watch when this guy starts talking', 'start': 830.959, 'duration': 2.641}
{'text': "look at the evidence he's like no we're", 'start': 832.399, 'duration': 2.321}
{'text': "not done i'm trying i'm trying to talk", 'start': 833.6, 'duration': 2.239}
{'text': 'watch watch him down here look at how', 'start': 834.72, 'duration': 3.04}
{'text': "mad he's going you realize that uh said", 'start': 835.839, 'duration': 3.841}
{'text': "evidence suggests something else you're", 'start': 837.76, 'duration': 3.199}
{'text': 'probably not going to continue believing', 'start': 839.68, 'duration': 3.519}
{'text': 'the prior thing that you believed right', 'start': 840.959, 'duration': 3.521}
{'text': 'we went over the same point like five', 'start': 843.199, 'duration': 2.0}
{'text': 'times', 'start': 844.48, 'duration': 1.919}
{'text': "i know but it's just it's just weird", 'start': 845.199, 'duration': 2.721}
{'text': "because i can't like i can't break", 'start': 846.399, 'duration': 3.68}
{'text': "through uh andrew's uh i understand your", 'start': 847.92, 'duration': 3.039}
{'text': "point you're saying that you're always", 'start': 850.079, 'duration': 3.521}
{'text': "here we're losing the girl no no exactly", 'start': 850.959, 'duration': 4.161}
{'text': "i won't talk to her he's saying", 'start': 853.6, 'duration': 2.56}
{'text': 'even if i thought women were worse', 'start': 855.12, 'duration': 2.48}
{'text': "drivers i've seen oracle evidence and", 'start': 856.16, 'duration': 2.88}
{'text': "i'm so smart that i ignore my own eyes", 'start': 857.6, 'duration': 2.32}
{'text': 'and ears and believe what the internet', 'start': 859.04, 'duration': 1.919}
{'text': "tells me that's weird that's not what", 'start': 859.92, 'duration': 2.479}
{'text': "i'm asking you to do my friend i'm sure", 'start': 860.959, 'duration': 2.721}
{'text': "you're double vaccinated it all makes", 'start': 862.399, 'duration': 2.401}
{'text': "sense to me now you believe what you're", 'start': 863.68, 'duration': 2.24}
{'text': "told to believe you don't believe your", 'start': 864.8, 'duration': 2.24}
{'text': 'own patients', 'start': 865.92, 'duration': 1.919}
{'text': "unless you're gonna sit here and talk", 'start': 867.04, 'duration': 1.76}
{'text': 'about empirical evidence that you found', 'start': 867.839, 'duration': 2.24}
{'text': 'on google cool if you believe everything', 'start': 868.8, 'duration': 2.32}
{'text': "that's on google that is your", 'start': 870.079, 'duration': 2.241}
{'text': 'prerogative my friend if you think what', 'start': 871.12, 'duration': 2.24}
{'text': 'makes you sound smart in the modern', 'start': 872.32, 'duration': 2.16}
{'text': "world after the three years you've just", 'start': 873.36, 'duration': 2.32}
{'text': 'been through to say that i read a piece', 'start': 874.48, 'duration': 2.32}
{'text': 'of paper that tells me to believe so i', 'start': 875.68, 'duration': 2.399}
{'text': 'believe x and i ignore my own personal', 'start': 876.8, 'duration': 2.479}
{'text': "experiences and you're going to i'm not", 'start': 878.079, 'duration': 2.401}
{'text': 'asking you to ignore your own personal', 'start': 879.279, 'duration': 3.041}
{'text': "experiences i'm simply asking you to", 'start': 880.48, 'duration': 3.12}
{'text': 'look at the data', 'start': 882.32, 'duration': 2.4}
{'text': "so let's change the subject because", 'start': 883.6, 'duration': 2.96}
{'text': "you've just proven the point okay andrew", 'start': 884.72, 'duration': 3.76}
{'text': "do you believe well i didn't i didn't", 'start': 886.56, 'duration': 3.2}
{'text': "you didn't really prove anything but", 'start': 888.48, 'duration': 2.67}
{'text': "it's cool", 'start': 889.76, 'duration': 6.08}
{'text': '[Laughter]', 'start': 891.15, 'duration': 4.69}
{'text': "you didn't really prove anything but", 'start': 896.16, 'duration': 3.039}
{'text': "that's cool", 'start': 897.36, 'duration': 4.0}
{'text': 'i need to steal that actually oh my god', 'start': 899.199, 'duration': 3.681}
{'text': 'i think i just learned a debate tactic', 'start': 901.36, 'duration': 4.88}
{'text': 'from hassan instead of saying okay', 'start': 902.88, 'duration': 5.199}
{'text': "i'm gonna start saying that's cool and", 'start': 906.24, 'duration': 3.599}
{'text': 'then move on to the next thing', 'start': 908.079, 'duration': 4.721}
{'text': "that's a sick [\xa0__\xa0]", 'start': 909.839, 'duration': 4.881}
{'text': "that's a sick [\xa0__\xa0] debate tactic", 'start': 912.8, 'duration': 4.479}
{'text': "that's cool", 'start': 914.72, 'duration': 2.559}
{'text': 'do you believe the earth is is spherical', 'start': 917.68, 'duration': 5.04}
{'text': 'round', 'start': 920.32, 'duration': 2.4}
{'text': 'two yes', 'start': 924.399, 'duration': 3.521}
{'text': 'oh he took his headphones off he gets', 'start': 926.48, 'duration': 2.56}
{'text': 'very stressed sometimes and you know', 'start': 927.92, 'duration': 2.8}
{'text': "yeah yeah it's cool it's important you", 'start': 929.04, 'duration': 3.12}
{'text': "know sometimes you can't take the heat", 'start': 930.72, 'duration': 2.479}
{'text': "sometimes you can't take the heat so you", 'start': 932.16, 'duration': 3.2}
{'text': 'gotta hold on how are you like an ultra', 'start': 933.199, 'duration': 4.08}
{'text': 'manly manly manly man', 'start': 935.36, 'duration': 3.44}
{'text': "and you're like", 'start': 937.279, 'duration': 3.521}
{'text': "you're like stressed out and vaping and", 'start': 938.8, 'duration': 3.44}
{'text': 'taking your headphones off in the in a', 'start': 940.8, 'duration': 4.56}
{'text': '[\xa0__\xa0] internet debate', 'start': 942.24, 'duration': 3.12}
{'text': "what's", 'start': 946.959, 'duration': 3.761}
{'text': 'out of the kitchen a little bit', 'start': 949.12, 'duration': 2.8}
{'text': 'um andrew do you believe the earth is', 'start': 950.72, 'duration': 3.679}
{'text': 'flat around spherical globe', 'start': 951.92, 'duration': 3.359}
{'text': "what time do you believe it's around", 'start': 954.399, 'duration': 2.88}
{'text': 'right but when you walk outside it feels', 'start': 955.279, 'duration': 3.441}
{'text': "like it's flat", 'start': 957.279, 'duration': 3.761}
{'text': 'brother brother i i i it looks flat it', 'start': 958.72, 'duration': 3.6}
{'text': "feels flat but you believe it's around", 'start': 961.04, 'duration': 3.599}
{'text': 'why do you believe the earth is round', 'start': 962.32, 'duration': 3.92}
{'text': 'because i have personal experience that', 'start': 964.639, 'duration': 2.801}
{'text': 'would prove to me that the earth is', 'start': 966.24, 'duration': 2.8}
{'text': 'around oh your personal experience what', 'start': 967.44, 'duration': 2.8}
{'text': 'happened did you go up', 'start': 969.04, 'duration': 4.479}
{'text': 'why would you do this', 'start': 970.24, 'duration': 3.279}
{'text': "it's like", 'start': 974.32, 'duration': 2.4}
{'text': 'hasano is like the 85 iq debater but', 'start': 978.24, 'duration': 5.68}
{'text': 'like versus like a 65 iq debater where', 'start': 980.959, 'duration': 4.56}
{'text': "as honestly i'm going to get him with", 'start': 983.92, 'duration': 3.359}
{'text': 'this example and then i was like do you', 'start': 985.519, 'duration': 3.601}
{'text': 'think the earth is round or not but tate', 'start': 987.279, 'duration': 3.041}
{'text': 'is actually like', 'start': 989.12, 'duration': 2.0}
{'text': 'well', 'start': 990.32, 'duration': 2.639}
{'text': "i know it's round because i go i went up", 'start': 991.12, 'duration': 5.639}
{'text': 'high enough to see it', 'start': 992.959, 'duration': 3.8}
{'text': 'up to the [\xa0__\xa0] moon is that how you', 'start': 998.639, 'duration': 2.88}
{'text': 'figured it out actually i flew up into', 'start': 999.92, 'duration': 4.159}
{'text': 'space and i looked down over here', 'start': 1001.519, 'duration': 4.32}
{'text': "it's crazy okay you don't have to hey", 'start': 1004.079, 'duration': 2.801}
{'text': "listen you don't have to concede on that", 'start': 1005.839, 'duration': 2.0}
{'text': 'point but i think you and i both', 'start': 1006.88, 'duration': 2.879}
{'text': 'understand the importance of scientific', 'start': 1007.839, 'duration': 3.44}
{'text': 'uh the importance of empirical evidence', 'start': 1009.759, 'duration': 4.64}
{'text': 'in that one right or or you know', 'start': 1011.279, 'duration': 3.12}
{'text': "and i thought wow this guy wow okay he's", 'start': 1014.56, 'duration': 3.04}
{'text': 'going to ruin the stream we had a hot', 'start': 1016.32, 'duration': 2.72}
{'text': "chick now we're here is that what you", 'start': 1017.6, 'duration': 2.239}
{'text': 'thought', 'start': 1019.04, 'duration': 3.12}
{'text': "just just just chill out like it's", 'start': 1019.839, 'duration': 3.521}
{'text': "so what's up is it a little bit more", 'start': 1022.16, 'duration': 2.799}
{'text': "difficult when i'm not like uh the", 'start': 1023.36, 'duration': 4.0}
{'text': 'traditional like sjw looking person is', 'start': 1024.959, 'duration': 4.401}
{'text': 'that why it feels like the stream is a', 'start': 1027.36, 'duration': 3.439}
{'text': "little bit more ruined no it's not", 'start': 1029.36, 'duration': 2.479}
{'text': "difficult as a professional i'll tell", 'start': 1030.799, 'duration': 1.921}
{'text': 'you the conversation we just had yeah', 'start': 1031.839, 'duration': 2.161}
{'text': "you dude you've been kicked in the face", 'start': 1032.72, 'duration': 2.719}
{'text': "and stuff like i'm sure you can handle", 'start': 1034.0, 'duration': 2.64}
{'text': 'little old me', 'start': 1035.439, 'duration': 3.921}
{'text': 'exactly so dude this guy is getting', 'start': 1036.64, 'duration': 5.36}
{'text': "[\xa0__\xa0] ultra mog he's getting so", 'start': 1039.36, 'duration': 5.28}
{'text': "triggered right now holy [\xa0__\xa0] that's a", 'start': 1042.0, 'duration': 4.0}
{'text': 'professional conversation we just had i', 'start': 1044.64, 'duration': 2.399}
{'text': "said i'm biased and i don't believe", 'start': 1046.0, 'duration': 2.079}
{'text': "women can drive that's my personal", 'start': 1047.039, 'duration': 2.241}
{'text': "experience i don't care if anyone agrees", 'start': 1048.079, 'duration': 2.321}
{'text': 'i came along', 'start': 1049.28, 'duration': 2.32}
{'text': "don't interrupt me you came along and", 'start': 1050.4, 'duration': 3.04}
{'text': "said no that's not true because of the", 'start': 1051.6, 'duration': 3.12}
{'text': "evidence i came and said i don't care", 'start': 1053.44, 'duration': 2.32}
{'text': 'what the evidence my personal experience', 'start': 1054.72, 'duration': 2.16}
{'text': 'you said i also have personal', 'start': 1055.76, 'duration': 2.24}
{'text': "experiences and we're all biased i", 'start': 1056.88, 'duration': 2.4}
{'text': 'agreed then you said even if i had', 'start': 1058.0, 'duration': 2.559}
{'text': 'personal experiences that said x i would', 'start': 1059.28, 'duration': 2.24}
{'text': 'ignore them because the internet told me', 'start': 1060.559, 'duration': 2.081}
{'text': "to believe why i believe what i'm saying", 'start': 1061.52, 'duration': 2.72}
{'text': "that's not what i said i said that", 'start': 1062.64, 'duration': 3.6}
{'text': 'regardless of my own personal biases', 'start': 1064.24, 'duration': 3.92}
{'text': 'that i might have evidence is still more', 'start': 1066.24, 'duration': 4.96}
{'text': 'important than my personal biases', 'start': 1068.16, 'duration': 4.399}
{'text': "to senator hassan's arguments", 'start': 1071.2, 'duration': 3.839}
{'text': 'philosophically here more what hassan is', 'start': 1072.559, 'duration': 3.521}
{'text': 'saying is', 'start': 1075.039, 'duration': 3.041}
{'text': 'tate is saying i have my own biases and', 'start': 1076.08, 'duration': 3.76}
{'text': 'assange is saying yes and then saying', 'start': 1078.08, 'duration': 3.2}
{'text': 'you have your own biases', 'start': 1079.84, 'duration': 3.76}
{'text': "hassan is saying yes it's not he said", 'start': 1081.28, 'duration': 3.44}
{'text': "this in the beginning but i don't think", 'start': 1083.6, 'duration': 2.959}
{'text': 'he realized philosophically where what', 'start': 1084.72, 'duration': 3.199}
{'text': 'he was actually getting at what hassan', 'start': 1086.559, 'duration': 4.081}
{'text': 'shoulda said is independent of you or my', 'start': 1087.919, 'duration': 4.88}
{'text': "mind's biases we agree that there is a", 'start': 1090.64, 'duration': 3.76}
{'text': 'fact of the matter right', 'start': 1092.799, 'duration': 4.0}
{'text': 'like there is objectively a correct', 'start': 1094.4, 'duration': 4.08}
{'text': 'answer to the question who are better', 'start': 1096.799, 'duration': 3.441}
{'text': 'drivers men or women there is this there', 'start': 1098.48, 'duration': 3.68}
{'text': 'is an objective factor an objective fact', 'start': 1100.24, 'duration': 3.84}
{'text': 'there independent of our own biases how', 'start': 1102.16, 'duration': 3.12}
{'text': 'do we figure out that fact how do we', 'start': 1104.08, 'duration': 3.2}
{'text': 'discover that fact', 'start': 1105.28, 'duration': 3.2}
{'text': "philosophically that's where they're", 'start': 1107.28, 'duration': 2.88}
{'text': "headed for zone isn't more correct here", 'start': 1108.48, 'duration': 3.6}
{'text': "than tata's or hassan is completely", 'start': 1110.16, 'duration': 3.12}
{'text': "correct he just doesn't know how to", 'start': 1112.08, 'duration': 4.32}
{'text': 'verbalize it well but', 'start': 1113.28, 'duration': 3.12}
{'text': "it's boring and you've lost and it's", 'start': 1116.799, 'duration': 2.801}
{'text': "boring so let's just move on to the", 'start': 1118.32, 'duration': 2.239}
{'text': 'subject', 'start': 1119.6, 'duration': 2.0}
{'text': "is that what happens you just say i'm", 'start': 1120.559, 'duration': 2.48}
{'text': 'boring and i lost and then you win is', 'start': 1121.6, 'duration': 3.199}
{'text': 'that what it is paul do a poll in the', 'start': 1123.039, 'duration': 2.961}
{'text': "chat if you won then we'll continue to", 'start': 1124.799, 'duration': 2.721}
{'text': "talk it but i'm sure you've lost and i", 'start': 1126.0, 'duration': 3.039}
{'text': 'think that', 'start': 1127.52, 'duration': 4.0}
{'text': 'on the words if we were reading a text', 'start': 1129.039, 'duration': 4.561}
{'text': 'of like both of those i might say that', 'start': 1131.52, 'duration': 6.08}
{'text': 'the conversation is maybe even but um', 'start': 1133.6, 'duration': 7.68}
{'text': "tate is like so unhinged he's so upset", 'start': 1137.6, 'duration': 6.8}
{'text': "he's like so mad", 'start': 1141.28, 'duration': 6.88}
{'text': 'i wonder i wonder if we missed something', 'start': 1144.4, 'duration': 3.76}
{'text': 'i wonder if we missed something', 'start': 1149.039, 'duration': 3.361}
{'text': 'that happened earlier because he was so', 'start': 1151.039, 'duration': 2.721}
{'text': 'much more chill during the xqc', 'start': 1152.4, 'duration': 3.84}
{'text': "conversation and he's like ultra ass mad", 'start': 1153.76, 'duration': 3.84}
{'text': 'right now', 'start': 1156.24, 'duration': 2.24}
{'text': 'do you do you want me to leave the', 'start': 1157.6, 'duration': 2.16}
{'text': 'conversation that desperately andrew it', 'start': 1158.48, 'duration': 2.16}
{'text': "seems like you're running away a little", 'start': 1159.76, 'duration': 1.68}
{'text': 'bit', 'start': 1160.64, 'duration': 5.08}
{'text': 'never any circle okay yeah', 'start': 1161.44, 'duration': 4.28}
{'text': 'the importance of science and and', 'start': 1166.16, 'duration': 4.16}
{'text': "andrew's personal biases andrew can you", 'start': 1168.24, 'duration': 3.36}
{'text': 'tell me a little bit about uh the', 'start': 1170.32, 'duration': 3.12}
{'text': 'hustlers university whatever that is not', 'start': 1171.6, 'duration': 3.199}
{'text': 'in a promotional capacity i know that', 'start': 1173.44, 'duration': 2.72}
{'text': "like you're doing the rounds on twitch i", 'start': 1174.799, 'duration': 3.201}
{'text': 'wonder if tate has answered the question', 'start': 1176.16, 'duration': 3.759}
{'text': 'about like the earth ship before like i', 'start': 1178.0, 'duration': 3.679}
{'text': 'wonder if hassan has all this prepared', 'start': 1179.919, 'duration': 3.12}
{'text': 'ahead of time too', 'start': 1181.679, 'duration': 2.481}
{'text': "and i know that that's probably giving", 'start': 1183.039, 'duration': 2.88}
{'text': 'you a big boost but i want to understand', 'start': 1184.16, 'duration': 3.6}
{'text': 'you know because you are a businessman i', 'start': 1185.919, 'duration': 3.281}
{'text': 'want to understand how you generate', 'start': 1187.76, 'duration': 3.2}
{'text': 'revenue uh is it okay to get this', 'start': 1189.2, 'duration': 2.88}
{'text': 'information for free or do i have to pay', 'start': 1190.96, 'duration': 2.8}
{'text': '50 and then maybe get an affiliate link', 'start': 1192.08, 'duration': 3.44}
{'text': 'and get other people to also join so i', 'start': 1193.76, 'duration': 3.36}
{'text': 'can make a 10 cut off of them also', 'start': 1195.52, 'duration': 3.519}
{'text': 'joining hustlers university you can find', 'start': 1197.12, 'duration': 2.72}
{'text': 'everything on the website and you can', 'start': 1199.039, 'duration': 2.401}
{'text': "join more information that's fine but", 'start': 1199.84, 'duration': 2.24}
{'text': "you don't want to you don't want to", 'start': 1201.44, 'duration': 1.92}
{'text': 'share this information for free right', 'start': 1202.08, 'duration': 2.64}
{'text': "now you don't want to educate me on that", 'start': 1203.36, 'duration': 2.72}
{'text': "i don't want to sit here and spend the", 'start': 1204.72, 'duration': 2.8}
{'text': 'next hour are you trying to accuse me of', 'start': 1206.08, 'duration': 3.36}
{'text': "some [\xa0__\xa0] i'm not i'm not i'm here", 'start': 1207.52, 'duration': 4.159}
{'text': 'to learn andrew you are a brilliant mind', 'start': 1209.44, 'duration': 3.599}
{'text': 'maybe a little rattled maybe a little', 'start': 1211.679, 'duration': 3.041}
{'text': 'rattled from the the numerous', 'start': 1213.039, 'duration': 3.921}
{'text': 'concussions but brilliant nonetheless so', 'start': 1214.72, 'duration': 3.68}
{'text': 'i want to hear more about your business', 'start': 1216.96, 'duration': 3.04}
{'text': "strategy if possible it's actually quite", 'start': 1218.4, 'duration': 2.48}
{'text': 'interesting that people are too scared', 'start': 1220.0, 'duration': 1.76}
{'text': 'to get in the ring try to make fun of', 'start': 1220.88, 'duration': 2.32}
{'text': 'people who have bravery to try and make', 'start': 1221.76, 'duration': 2.799}
{'text': "fun of them i do think it's very brave i", 'start': 1223.2, 'duration': 2.64}
{'text': "do think i do think it's very great all", 'start': 1224.559, 'duration': 2.561}
{'text': "right so let's not let's not let's not", 'start': 1225.84, 'duration': 2.56}
{'text': 'detract the bravery of men who do things', 'start': 1227.12, 'duration': 2.16}
{'text': "you're afraid to do that's the first", 'start': 1228.4, 'duration': 2.399}
{'text': 'thing no no you you are absolutely', 'start': 1229.28, 'duration': 3.12}
{'text': 'incredibly brave you still might have', 'start': 1230.799, 'duration': 3.681}
{'text': 'cte but you are incredibly brave i i i', 'start': 1232.4, 'duration': 4.399}
{'text': "appreciate it i mean whatever it's fine", 'start': 1234.48, 'duration': 4.0}
{'text': "uh the point i'm trying to make he just", 'start': 1236.799, 'duration': 4.721}
{'text': 'takes the l on it and moves on', 'start': 1238.48, 'duration': 4.319}
{'text': "let's sit here and talk about hate you", 'start': 1241.52, 'duration': 2.24}
{'text': "and try and break it down and you've", 'start': 1242.799, 'duration': 2.321}
{'text': 'prepared a bunch of notes successfully i', 'start': 1243.76, 'duration': 3.2}
{'text': "have no notes whatsoever i'm a dumbass i", 'start': 1245.12, 'duration': 3.36}
{'text': "don't know anything i think he did have", 'start': 1246.96, 'duration': 3.36}
{'text': "notes but this is talking about i'm", 'start': 1248.48, 'duration': 4.559}
{'text': 'simply here to learn from you', 'start': 1250.32, 'duration': 4.08}
{'text': "no i'm literally but that's the truth", 'start': 1253.039, 'duration': 3.52}
{'text': "you're being so sarcastic though like oh", 'start': 1254.4, 'duration': 3.68}
{'text': "he's trying to stick up for his poor", 'start': 1256.559, 'duration': 4.48}
{'text': 'buddy he sees it like', 'start': 1258.08, 'duration': 2.959}
{'text': "he sees that he's like [\xa0__\xa0] mogging", 'start': 1261.28, 'duration': 3.84}
{'text': "the [\xa0__\xa0] out of his poor friend i've", 'start': 1263.52, 'duration': 3.68}
{'text': "been so sarcastic i'm not i'm literally", 'start': 1265.12, 'duration': 3.439}
{'text': 'oh come on come on come on come on come', 'start': 1267.2, 'duration': 4.08}
{'text': "on come on i'm asking questions", 'start': 1268.559, 'duration': 4.161}
