{'text': '[Music]', 'start': 0.76, 'duration': 3.17}
{'text': 'by the business as salary', 'start': 1106.559, 'duration': 4.48}
{'text': 'but would potentially trigger 3.8', 'start': 1108.48, 'duration': 5.199}
{'text': 'payroll tax liability by the recipient', 'start': 1111.039, 'duration': 5.681}
{'text': 'under the so-called medicare payroll tax', 'start': 1113.679, 'duration': 4.88}
{'text': 'fees that were actually gifts to family', 'start': 1116.72, 'duration': 3.92}
{'text': 'members were not properly deductible', 'start': 1118.559, 'duration': 4.161}
{'text': 'and also may have generated gift tax', 'start': 1120.64, 'duration': 3.76}
{'text': "liability on trump's part", 'start': 1122.72, 'duration': 4.959}
{'text': 'that the mislabeling helped to conceal', 'start': 1124.4, 'duration': 6.48}
{'text': 'seven other improper deductions that may', 'start': 1127.679, 'duration': 5.441}
{'text': 'have been claimed fraudulently', 'start': 1130.88, 'duration': 4.0}
{'text': 'the times article notes several', 'start': 1133.12, 'duration': 3.76}
{'text': 'different types of improper deductions', 'start': 1134.88, 'duration': 3.76}
{'text': 'for business expenses that appear to', 'start': 1136.88, 'duration': 3.039}
{'text': 'have been personal', 'start': 1138.64, 'duration': 3.6}
{'text': 'and hence not allowable under the', 'start': 1139.919, 'duration': 4.161}
{'text': 'federal income tax', 'start': 1142.24, 'duration': 3.52}
{'text': 'an example is the more than seventy', 'start': 1144.08, 'duration': 3.52}
{'text': 'thousand dollars paid to hair stylists', 'start': 1145.76, 'duration': 2.72}
{'text': 'in relation to', 'start': 1147.6, 'duration': 3.6}
{'text': 'the apprentice so for this we looked', 'start': 1148.48, 'duration': 3.6}
{'text': 'this up earlier', 'start': 1151.2, 'duration': 2.479}
{'text': "i'm pretty sure you would be able to", 'start': 1152.08, 'duration': 3.36}
{'text': 'take a deduction here if you were doing', 'start': 1153.679, 'duration': 4.0}
{'text': 'like a crazy outfit or costume for a', 'start': 1155.44, 'duration': 2.72}
{'text': 'show', 'start': 1157.679, 'duration': 2.081}
{'text': "but if it's just like maintenance of", 'start': 1158.16, 'duration': 3.68}
{'text': 'your normal look that is not allowable', 'start': 1159.76, 'duration': 2.96}
{'text': 'to write off', 'start': 1161.84, 'duration': 2.48}
{'text': "so let's say i did a cosplay of some", 'start': 1162.72, 'duration': 3.44}
{'text': 'crazy [\xa0__\xa0] and it cost me like three', 'start': 1164.32, 'duration': 3.2}
{'text': 'thousand dollars for the outfit the hair', 'start': 1166.16, 'duration': 2.32}
{'text': 'the makeup and all that', 'start': 1167.52, 'duration': 3.2}
{'text': "i'm 99 sure that i would be able to", 'start': 1168.48, 'duration': 3.52}
{'text': 'write that off as part of a business', 'start': 1170.72, 'duration': 2.8}
{'text': 'expense but if i just wanted to go get', 'start': 1172.0, 'duration': 2.0}
{'text': 'like my', 'start': 1173.52, 'duration': 2.0}
{'text': 'my hair done nice and like my beard', 'start': 1174.0, 'duration': 3.2}
{'text': 'shaved and all of that or whatever um', 'start': 1175.52, 'duration': 3.279}
{'text': 'for a stream that would not be allowed', 'start': 1177.2, 'duration': 2.0}
{'text': 'to be', 'start': 1178.799, 'duration': 1.601}
{'text': "written off that's just considered part", 'start': 1179.2, 'duration': 3.04}
{'text': 'of your ordinary like maintenance and', 'start': 1180.4, 'duration': 3.84}
{'text': 'upkeep as like a human being', 'start': 1182.24, 'duration': 4.88}
{'text': "um let's see an example is the more than", 'start': 1184.24, 'duration': 4.24}
{'text': 'seventy thousand dollars paid to hair', 'start': 1187.12, 'duration': 3.28}
{'text': 'stylist in relation to the apprentice', 'start': 1188.48, 'duration': 4.24}
{'text': 'tax law is quite clear that such items', 'start': 1190.4, 'duration': 4.159}
{'text': 'cannot generally be deducted unless', 'start': 1192.72, 'duration': 4.079}
{'text': 'their use is limited exclusively to the', 'start': 1194.559, 'duration': 3.36}
{'text': 'business appearance', 'start': 1196.799, 'duration': 3.841}
{'text': 'itself for example suppose trump paid', 'start': 1197.919, 'duration': 3.601}
{'text': '500', 'start': 1200.64, 'duration': 3.36}
{'text': 'for tv makeup for an apprentice shoot', 'start': 1201.52, 'duration': 4.159}
{'text': 'and the makeup was washed off right', 'start': 1204.0, 'duration': 2.48}
{'text': 'afterwards', 'start': 1205.679, 'duration': 3.201}
{'text': 'that likely would be deductible however', 'start': 1206.48, 'duration': 4.0}
{'text': 'the cost of a haircut generally cannot', 'start': 1208.88, 'duration': 2.799}
{'text': 'be deducted even', 'start': 1210.48, 'duration': 2.96}
{'text': 'in part because one still has the', 'start': 1211.679, 'duration': 3.281}
{'text': 'haircut after the show', 'start': 1213.44, 'duration': 5.2}
{'text': 'is over similarly people who need fancy', 'start': 1214.96, 'duration': 5.199}
{'text': 'business suits for meetings with clients', 'start': 1218.64, 'duration': 3.12}
{'text': 'or customers and who claim they would', 'start': 1220.159, 'duration': 3.601}
{'text': 'rather dress in t-shirts and jeans', 'start': 1221.76, 'duration': 5.12}
{'text': "cannot deduct the suit's cost", 'start': 1223.76, 'duration': 5.279}
{'text': 'similarly the times article raises', 'start': 1226.88, 'duration': 4.159}
{'text': 'serious questions about deductions for a', 'start': 1229.039, 'duration': 4.081}
{'text': 'residential property described by eric', 'start': 1231.039, 'duration': 3.361}
{'text': 'trump as the family', 'start': 1233.12, 'duration': 4.16}
{'text': 'compound on the ground that it was an', 'start': 1234.4, 'duration': 4.639}
{'text': 'investment property being held for', 'start': 1237.28, 'duration': 3.04}
{'text': 'profit', 'start': 1239.039, 'duration': 2.961}
{'text': 'the very year after the investment', 'start': 1240.32, 'duration': 3.28}
{'text': 'designation was made', 'start': 1242.0, 'duration': 3.2}
{'text': 'trump claimed a deduction for a', 'start': 1243.6, 'duration': 3.76}
{'text': 'charitable easement that precluded', 'start': 1245.2, 'duration': 4.56}
{'text': 'development of much of the property', 'start': 1247.36, 'duration': 4.48}
{'text': 'happening just a year later and possibly', 'start': 1249.76, 'duration': 4.24}
{'text': 'foreseen this would only add to the', 'start': 1251.84, 'duration': 4.079}
{'text': 'difficulty of establishing the requisite', 'start': 1254.0, 'duration': 4.64}
{'text': 'profit motive', 'start': 1255.919, 'duration': 4.88}
{'text': 'a further instance of potential fraud', 'start': 1258.64, 'duration': 4.24}
{'text': 'relates to deducting legal fees that may', 'start': 1260.799, 'duration': 4.0}
{'text': "have related to trump's 2016", 'start': 1262.88, 'duration': 3.679}
{'text': 'presidential campaign', 'start': 1264.799, 'duration': 4.961}
{'text': 'rather than to his business activities', 'start': 1266.559, 'duration': 4.881}
{'text': 'this has to do with money that was paid', 'start': 1269.76, 'duration': 4.08}
{'text': 'to michael cohen for to settle personal', 'start': 1271.44, 'duration': 3.599}
{'text': 'trump matters', 'start': 1273.84, 'duration': 4.8}
{'text': 'i think um i think new york right now', 'start': 1275.039, 'duration': 6.88}
{'text': 'is holding charges um against trump that', 'start': 1278.64, 'duration': 4.32}
{'text': "they're waiting to file", 'start': 1281.919, 'duration': 3.041}
{'text': "once he's out of office for that okay", 'start': 1282.96, 'duration': 4.16}
{'text': 'good', 'start': 1284.96, 'duration': 2.16}
{'text': 'this may even include the hush money', 'start': 1288.32, 'duration': 4.0}
{'text': 'payment to stormy daniels', 'start': 1290.4, 'duration': 3.6}
{'text': 'if it was improperly amalgamated with', 'start': 1292.32, 'duration': 3.44}
{'text': 'actual legal fees', 'start': 1294.0, 'duration': 3.679}
{'text': 'like the times article itself i am', 'start': 1295.76, 'duration': 3.44}
{'text': 'focusing here on federal', 'start': 1297.679, 'duration': 4.801}
{'text': 'income tax issues however state and', 'start': 1299.2, 'duration': 5.04}
{'text': 'local income tax liability', 'start': 1302.48, 'duration': 4.079}
{'text': 'in new york state and new york city is', 'start': 1304.24, 'duration': 3.2}
{'text': 'also an issue', 'start': 1306.559, 'duration': 2.721}
{'text': 'in many of the fact patterns described', 'start': 1307.44, 'duration': 3.68}
{'text': 'in the article extending not', 'start': 1309.28, 'duration': 5.519}
{'text': 'just just to amend them but to the owing', 'start': 1311.12, 'duration': 4.48}
{'text': 'of interest', 'start': 1314.799, 'duration': 4.721}
{'text': 'and penalties eight', 'start': 1315.6, 'duration': 6.319}
{'text': 'trump appears to have used substantial', 'start': 1319.52, 'duration': 4.48}
{'text': 'foreign losses to offset tax', 'start': 1321.919, 'duration': 3.921}
{'text': 'that would otherwise have been due on', 'start': 1324.0, 'duration': 4.4}
{'text': 'domestic source income', 'start': 1325.84, 'duration': 5.199}
{'text': 'this tax use of foreign losses is', 'start': 1328.4, 'duration': 3.759}
{'text': 'legally permissible', 'start': 1331.039, 'duration': 3.601}
{'text': 'under appropriate circumstances that may', 'start': 1332.159, 'duration': 3.601}
{'text': 'have been met here', 'start': 1334.64, 'duration': 3.2}
{'text': 'but it raises an admittedly secondary', 'start': 1335.76, 'duration': 3.279}
{'text': 'issue about the effect', 'start': 1337.84, 'duration': 3.92}
{'text': 'of any overall foreign losses that he', 'start': 1339.039, 'duration': 3.681}
{'text': 'may have claimed', 'start': 1341.76, 'duration': 3.12}
{'text': 'with respect to his money losing foreign', 'start': 1342.72, 'duration': 3.36}
{'text': 'operations', 'start': 1344.88, 'duration': 3.36}
{'text': 'on any foreign tax credits that he may', 'start': 1346.08, 'duration': 3.28}
{'text': 'have claimed on his u.s', 'start': 1348.24, 'duration': 4.72}
{'text': 'tax returns in 2017 for example', 'start': 1349.36, 'duration': 6.559}
{'text': 'when he apparently voluntarily paid 750', 'start': 1352.96, 'duration': 5.28}
{'text': 'dollars in u.s taxes', 'start': 1355.919, 'duration': 5.841}
{'text': 'based the times says on his deliberately', 'start': 1358.24, 'duration': 4.319}
{'text': 'not using', 'start': 1361.76, 'duration': 3.36}
{'text': 'all available tax credits he and his', 'start': 1362.559, 'duration': 4.161}
{'text': 'companies paid more than three hundred', 'start': 1365.12, 'duration': 3.439}
{'text': 'thousand dollars in foreign taxes', 'start': 1366.72, 'duration': 4.48}
{'text': 'to panama india and the philippines', 'start': 1368.559, 'duration': 3.041}
{'text': 'these', 'start': 1371.2, 'duration': 2.88}
{'text': 'might ordinarily be creditable but only', 'start': 1371.6, 'duration': 3.52}
{'text': 'to offset the u.s', 'start': 1374.08, 'duration': 2.959}
{'text': 'tax that would otherwise have been due', 'start': 1375.12, 'duration': 5.039}
{'text': 'on net positive foreign source income', 'start': 1377.039, 'duration': 5.12}
{'text': 'it would be worth checking whether his', 'start': 1380.159, 'duration': 4.161}
{'text': 'returns properly treated foreign tax', 'start': 1382.159, 'duration': 2.801}
{'text': 'credits', 'start': 1384.32, 'duration': 4.32}
{'text': 'in light of the foreign losses', 'start': 1384.96, 'duration': 7.04}
{'text': '9. the 2013 miss universe pageant in', 'start': 1388.64, 'duration': 4.72}
{'text': 'moscow raises', 'start': 1392.0, 'duration': 4.72}
{'text': 'troubling issues albeit not tax related', 'start': 1393.36, 'duration': 5.28}
{'text': 'about the potential funneling of cash', 'start': 1396.72, 'duration': 5.12}
{'text': 'from a putin associate to trump', 'start': 1398.64, 'duration': 5.76}
{'text': 'according to the times article trump and', 'start': 1401.84, 'duration': 4.319}
{'text': 'nbc were 50', 'start': 1404.4, 'duration': 4.399}
{'text': 'partners in his miss universe pageants', 'start': 1406.159, 'duration': 3.121}
{'text': 'split', 'start': 1408.799, 'duration': 4.081}
{'text': '4.7 million dollars of profits in 2013', 'start': 1409.28, 'duration': 5.56}
{'text': 'whereas they lost 2 million dollars in', 'start': 1412.88, 'duration': 5.6}
{'text': '2012 and 3.8 million in 2014.', 'start': 1414.84, 'duration': 6.52}
{'text': 'a key reason for the 2013 profit was', 'start': 1418.48, 'duration': 3.52}
{'text': 'that the', 'start': 1421.36, 'duration': 2.88}
{'text': 'agarlov family russian billionaires', 'start': 1422.0, 'duration': 3.76}
{'text': 'closely tied to putin', 'start': 1424.24, 'duration': 3.76}
{'text': 'who later helped set up the 2016 russia', 'start': 1425.76, 'duration': 4.64}
{'text': 'meeting about dirt on hillary clinton', 'start': 1428.0, 'duration': 4.72}
{'text': 'paid in 12 million dollars for the event', 'start': 1430.4, 'duration': 4.96}
{'text': 'and only took out 2 million', 'start': 1432.72, 'duration': 5.199}
{'text': 'perhaps the carloffs simply made a bad', 'start': 1435.36, 'duration': 3.76}
{'text': 'business investment', 'start': 1437.919, 'duration': 3.12}
{'text': 'but it looks like it could also have', 'start': 1439.12, 'duration': 4.0}
{'text': 'been a way of funneling cash to trump', 'start': 1441.039, 'duration': 6.721}
{'text': 'albeit shared by nbc for other reasons', 'start': 1443.12, 'duration': 4.64}
{'text': '10. there is an old saying that one can', 'start': 1447.919, 'duration': 4.161}
{'text': 'never detect tax fraud purely on the', 'start': 1450.32, 'duration': 3.68}
{'text': 'face of tax return but this comes closer', 'start': 1452.08, 'duration': 4.079}
{'text': 'than usual', 'start': 1454.0, 'duration': 4.32}
{'text': 'even wholly fraudulent tax returns', 'start': 1456.159, 'duration': 3.681}
{'text': 'generally do not proclaim their', 'start': 1458.32, 'duration': 3.44}
{'text': 'fraudulence on their face', 'start': 1459.84, 'duration': 3.839}
{'text': 'trump returns presumably are no', 'start': 1461.76, 'duration': 3.6}
{'text': 'exception and much of the evidence', 'start': 1463.679, 'duration': 3.441}
{'text': 'suggesting possible fraudulence was', 'start': 1465.36, 'duration': 3.439}
{'text': 'developed in the times article through', 'start': 1467.12, 'duration': 3.679}
{'text': 'the use of other sources', 'start': 1468.799, 'duration': 4.321}
{'text': 'nonetheless with that aid the times', 'start': 1470.799, 'duration': 3.76}
{'text': 'article makes a powerful', 'start': 1473.12, 'duration': 3.6}
{'text': 'initial case clearly meriting', 'start': 1474.559, 'duration': 3.201}
{'text': 'investigation', 'start': 1476.72, 'duration': 3.28}
{'text': 'that substantial tax fraud may have', 'start': 1477.76, 'duration': 3.76}
{'text': 'occurred', 'start': 1480.0, 'duration': 4.88}
{'text': 'wow wow', 'start': 1481.52, 'duration': 6.639}
{'text': 'adam yes what was the name of your class', 'start': 1484.88, 'duration': 5.919}
{'text': 'sex at work and what happened what went', 'start': 1488.159, 'duration': 3.841}
{'text': 'wrong i mean it sounds like a pretty', 'start': 1490.799, 'duration': 2.801}
{'text': 'good thing to choose sex is', 'start': 1492.0, 'duration': 3.84}
{'text': "always very good right um well i don't", 'start': 1493.6, 'duration': 4.319}
{'text': 'think sex is always very good but', 'start': 1495.84, 'duration': 4.16}
{'text': 'i think that this course was a great', 'start': 1497.919, 'duration': 3.601}
{'text': 'course but if there is sex', 'start': 1500.0, 'duration': 3.52}
{'text': 'in the workplace handle it with class', 'start': 1501.52, 'duration': 3.039}
{'text': 'that was the point of view', 'start': 1503.52, 'duration': 3.2}
{'text': 'or dating and then the different routes', 'start': 1504.559, 'duration': 3.201}
{'text': 'and different situations', 'start': 1506.72, 'duration': 2.559}
{'text': 'never heard of classy sex in the', 'start': 1507.76, 'duration': 3.12}
{'text': "workplace that's all", 'start': 1509.279, 'duration': 4.321}
{'text': "i just want to say i'm incredibly upset", 'start': 1510.88, 'duration': 4.0}
{'text': 'because i already know that', 'start': 1513.6, 'duration': 3.679}
{'text': 'the juiciest part of the trump tax [\xa0__\xa0]', 'start': 1514.88, 'duration': 3.76}
{'text': 'is not going to get brought up tonight', 'start': 1517.279, 'duration': 2.64}
{'text': "because it's too complicated for the", 'start': 1518.64, 'duration': 3.279}
{'text': 'average american to [\xa0__\xa0] understand', 'start': 1519.919, 'duration': 5.281}
{'text': 'but god damn that tax fraud that trump', 'start': 1521.919, 'duration': 4.081}
{'text': 'is accused of', 'start': 1525.2, 'duration': 3.04}
{'text': 'is some funny ass [\xa0__\xa0] meme [\xa0__\xa0] and', 'start': 1526.0, 'duration': 3.52}
{'text': "it's [\xa0__\xa0] hilarious", 'start': 1528.24, 'duration': 2.319}
{'text': 'that he thinks he can get away with the', 'start': 1529.52, 'duration': 2.159}
{'text': "type of wrath that he's doing for that", 'start': 1530.559, 'duration': 3.6}
{'text': 'for to turn that capital loss into an', 'start': 1531.679, 'duration': 3.761}
{'text': "ordinary one unless there's some unless", 'start': 1534.159, 'duration': 2.241}
{'text': "there's some like", 'start': 1535.44, 'duration': 2.56}
{'text': "ultra crazy [\xa0__\xa0] that i haven't seen or", 'start': 1536.4, 'duration': 2.8}
{'text': "ever read about that's some funny", 'start': 1538.0, 'duration': 2.08}
{'text': '[\xa0__\xa0] [\xa0__\xa0]', 'start': 1539.2, 'duration': 2.719}
{'text': "um but i don't i don't think they're", 'start': 1540.08, 'duration': 3.839}
{'text': "gonna harp on i'm not gonna harp on tax", 'start': 1541.919, 'duration': 4.0}
{'text': 'specifics but god damn', 'start': 1543.919, 'duration': 4.401}
{'text': 'can you explain um yeah i can try really', 'start': 1545.919, 'duration': 3.36}
{'text': 'quickly too', 'start': 1548.32, 'duration': 2.4}
{'text': 'um so i guess so you guys know because', 'start': 1549.279, 'duration': 2.801}
{'text': 'no other youtuber or twitch streamer is', 'start': 1550.72, 'duration': 2.24}
{'text': 'gonna understand this because none of', 'start': 1552.08, 'duration': 2.079}
{'text': 'them know anything about taxes', 'start': 1552.96, 'duration': 2.88}
{'text': 'um or care to do any research or', 'start': 1554.159, 'duration': 3.041}
{'text': 'anything besides healthcare good', 'start': 1555.84, 'duration': 4.48}
{'text': 'and warbed okay um okay so real quick', 'start': 1557.2, 'duration': 5.68}
{'text': 'okay this is funny meme [\xa0__\xa0] okay this', 'start': 1560.32, 'duration': 3.2}
{'text': 'is', 'start': 1562.88, 'duration': 1.84}
{'text': "kino i don't actually know what that", 'start': 1563.52, 'duration': 2.159}
{'text': 'means i just said all the time to choose', 'start': 1564.72, 'duration': 2.319}
{'text': 'a figure this is kino', 'start': 1565.679, 'duration': 4.721}
{'text': 'mean [\xa0__\xa0] okay when you get paid money', 'start': 1567.039, 'duration': 6.081}
{'text': 'generally there are buckets of income', 'start': 1570.4, 'duration': 3.92}
{'text': 'that it falls into called', 'start': 1573.12, 'duration': 4.08}
{'text': 'tax brackets okay you get like up to 20', 'start': 1574.32, 'duration': 3.28}
{'text': '30', 'start': 1577.2, 'duration': 2.479}
{'text': '40 whatever it is like you pay taxes on', 'start': 1577.6, 'duration': 3.52}
{'text': 'your thing okay now', 'start': 1579.679, 'duration': 3.921}
{'text': 'what normally if you get paid on a w-2', 'start': 1581.12, 'duration': 3.36}
{'text': "normally you're", 'start': 1583.6, 'duration': 3.84}
{'text': "you're paying into um the the type of", 'start': 1584.48, 'duration': 4.319}
{'text': 'income this is', 'start': 1587.44, 'duration': 5.2}
{'text': 'is this is called ordinary income', 'start': 1588.799, 'duration': 5.601}
{'text': 'um did you hear about the mansion that', 'start': 1592.64, 'duration': 2.88}
{'text': 'he bought his business expense they got', 'start': 1594.4, 'duration': 2.08}
{'text': 'a tech credit card', 'start': 1595.52, 'duration': 3.12}
{'text': "yeah that's mean [\xa0__\xa0] i don't care this", 'start': 1596.48, 'duration': 3.679}
{'text': 'is the real funny [\xa0__\xa0] okay', 'start': 1598.64, 'duration': 3.519}
{'text': "i think unless i'm making this remember", 'start': 1600.159, 'duration': 3.601}
{'text': "because i think didn't he use", 'start': 1602.159, 'duration': 2.88}
{'text': "this this trick i'm about to talk about", 'start': 1603.76, 'duration': 3.6}
{'text': 'i think he got a 75 million dollar carry', 'start': 1605.039, 'duration': 3.841}
{'text': 'forward right off i think related to', 'start': 1607.36, 'duration': 1.84}
{'text': 'this', 'start': 1608.88, 'duration': 2.88}
{'text': 'i think so this is some big meme [\xa0__\xa0] i', 'start': 1609.2, 'duration': 3.52}
{'text': 'think right or am i making that number', 'start': 1611.76, 'duration': 2.399}
{'text': 'up was it 75 million or is that a number', 'start': 1612.72, 'duration': 2.8}
{'text': 'i used as a hypothetical', 'start': 1614.159, 'duration': 4.961}
{'text': 'um regardless w-2', 'start': 1615.52, 'duration': 6.399}
{'text': 'um when you get paid via w-2 okay you', 'start': 1619.12, 'duration': 3.679}
{'text': 'are getting paid', 'start': 1621.919, 'duration': 2.721}
{'text': 'something called ordinary income you', 'start': 1622.799, 'duration': 3.201}
{'text': 'could get paid 1099 as well', 'start': 1624.64, 'duration': 2.96}
{'text': "you're still paying ordinary income", 'start': 1626.0, 'duration': 2.88}
{'text': "right usually it's when you get paid", 'start': 1627.6, 'duration': 2.4}
{'text': 'wages for a job', 'start': 1628.88, 'duration': 3.919}
{'text': 'or there might be other things so you', 'start': 1630.0, 'duration': 4.32}
{'text': 'have', 'start': 1632.799, 'duration': 4.561}
{'text': 'other income okay called', 'start': 1634.32, 'duration': 6.239}
{'text': 'capital gains so what is a what is what', 'start': 1637.36, 'duration': 4.24}
{'text': 'is a capital gain', 'start': 1640.559, 'duration': 2.321}
{'text': "there's a there's tax brackets this", 'start': 1641.6, 'duration': 3.52}
{'text': 'thing called long-term capital gains tax', 'start': 1642.88, 'duration': 5.279}
{'text': 'so basically what that means is that um', 'start': 1645.12, 'duration': 3.84}
{'text': 'hold on', 'start': 1648.159, 'duration': 2.64}
{'text': 'trump has 420 million dollars in', 'start': 1648.96, 'duration': 3.52}
{'text': "personal debt doesn't matter don't care", 'start': 1650.799, 'duration': 3.041}
{'text': "about that that's not relevant nobody", 'start': 1652.48, 'duration': 2.4}
{'text': 'smart is going to talk about that', 'start': 1653.84, 'duration': 1.839}
{'text': "they'll probably talk about it for", 'start': 1654.88, 'duration': 1.919}
{'text': "rhetoric but that doesn't matter", 'start': 1655.679, 'duration': 2.801}
{'text': "the problem with trump's personal debt", 'start': 1656.799, 'duration': 2.721}
{'text': "is you don't know how much that debt is", 'start': 1658.48, 'duration': 2.799}
{'text': 'secured by assets so for instance', 'start': 1659.52, 'duration': 3.6}
{'text': 'i have six figure debt right now because', 'start': 1661.279, 'duration': 3.28}
{'text': 'i have a house right i also have a six', 'start': 1663.12, 'duration': 2.88}
{'text': 'figure asset like okay what do you', 'start': 1664.559, 'duration': 2.0}
{'text': '[\xa0__\xa0] do', 'start': 1666.0, 'duration': 2.24}
{'text': "um talking about trump's total debt is", 'start': 1666.559, 'duration': 3.201}
{'text': 'meaningless without knowing exactly how', 'start': 1668.24, 'duration': 3.679}
{'text': 'much he has in assets uh which his taxes', 'start': 1669.76, 'duration': 3.76}
{'text': "don't reveal and the new york times says", 'start': 1671.919, 'duration': 2.161}
{'text': 'just as much', 'start': 1673.52, 'duration': 2.48}
{'text': 'other people harp on the millions in', 'start': 1674.08, 'duration': 3.36}
{'text': "debt number it doesn't really matter i", 'start': 1676.0, 'duration': 2.48}
{'text': 'guess it', 'start': 1677.44, 'duration': 2.8}
{'text': 'might look good or whatever um but okay', 'start': 1678.48, 'duration': 2.64}
{'text': "don't care about it don't worry about", 'start': 1680.24, 'duration': 1.439}
{'text': 'that okay', 'start': 1681.12, 'duration': 1.919}
{'text': 'about his assets unless more was leaked', 'start': 1681.679, 'duration': 2.561}
{'text': "about his assets that's why i think", 'start': 1683.039, 'duration': 2.24}
{'text': 'trump is doing more than take exploits', 'start': 1684.24, 'duration': 2.48}
{'text': "it's from financial aid and property", 'start': 1685.279, 'duration': 2.88}
{'text': "it's one page from that year but tells", 'start': 1686.72, 'duration': 2.959}
{'text': 'the story repeated year after year the', 'start': 1688.159, 'duration': 2.64}
{'text': 'thing everyone reports the loss is', 'start': 1689.679, 'duration': 2.48}
{'text': "there's real terms less more than seven", 'start': 1690.799, 'duration': 3.12}
{'text': 'million euros but the interest stuff is', 'start': 1692.159, 'duration': 3.041}
{'text': 'the fixed asset buying the creditors', 'start': 1693.919, 'duration': 2.801}
{'text': 'over one year', 'start': 1695.2, 'duration': 2.88}
{'text': "dude okay i don't care about this don't", 'start': 1696.72, 'duration': 3.679}
{'text': 'care about this the um the big point too', 'start': 1698.08, 'duration': 3.68}
{'text': 'is also trump just', 'start': 1700.399, 'duration': 4.16}
{'text': 'sucks at business oh my god wait did we', 'start': 1701.76, 'duration': 4.159}
{'text': 'ever talk about the um', 'start': 1704.559, 'duration': 3.441}
{'text': 'the intercept did we ever talk about the', 'start': 1705.919, 'duration': 4.48}
{'text': 'intercept [\xa0__\xa0]', 'start': 1708.0, 'duration': 6.48}
{'text': 'exposing their um informant', 'start': 1710.399, 'duration': 6.561}
{'text': "focus oh [\xa0__\xa0] i'm not focused at all", 'start': 1714.48, 'duration': 4.079}
{'text': 'this is the one big this is the one big', 'start': 1716.96, 'duration': 2.64}
{'text': '[\xa0__\xa0] thing that', 'start': 1718.559, 'duration': 2.881}
{'text': "that i'm familiar with okay sorry jesus", 'start': 1719.6, 'duration': 3.679}
{'text': 'christ when you get paid on a 1089 or w2', 'start': 1721.44, 'duration': 3.359}
{'text': 'you get an ordinary income okay', 'start': 1723.279, 'duration': 3.52}
{'text': "when you get when you let's say i buy a", 'start': 1724.799, 'duration': 3.681}
{'text': 'million dollars in amazon stock i sell', 'start': 1726.799, 'duration': 2.88}
{'text': 'it for two million dollars', 'start': 1728.48, 'duration': 3.12}
{'text': "then what i have is i've got a million", 'start': 1729.679, 'duration': 3.441}
{'text': 'dollars in something', 'start': 1731.6, 'duration': 3.76}
{'text': 'assuming that i hold on to this um for a', 'start': 1733.12, 'duration': 3.76}
{'text': 'long time i pay', 'start': 1735.36, 'duration': 3.52}
{'text': "a different type of tax on it okay it's", 'start': 1736.88, 'duration': 4.0}
{'text': 'called long-term capital gains', 'start': 1738.88, 'duration': 4.24}
{'text': 'okay these tax brackets are really', 'start': 1740.88, 'duration': 3.44}
{'text': "really good okay and there it's", 'start': 1743.12, 'duration': 2.72}
{'text': "something way different it's outside of", 'start': 1744.32, 'duration': 3.12}
{'text': "your ordinary income tax brackets it's a", 'start': 1745.84, 'duration': 4.079}
{'text': 'totally different bucket of income right', 'start': 1747.44, 'duration': 5.68}
{'text': 'now typically if i buy an asset', 'start': 1749.919, 'duration': 5.76}
{'text': 'if i buy an asset and that asset loses', 'start': 1753.12, 'duration': 3.2}
{'text': 'values', 'start': 1755.679, 'duration': 2.48}
{'text': "and i sell it okay let's say i buy", 'start': 1756.32, 'duration': 2.88}
{'text': 'something for a million dollars and i', 'start': 1758.159, 'duration': 2.481}
{'text': 'sell it for 500 000', 'start': 1759.2, 'duration': 4.719}
{'text': 'what i have is a 500 000', 'start': 1760.64, 'duration': 7.2}
{'text': 'tax deduction but it only works against', 'start': 1763.919, 'duration': 6.801}
{'text': 'my capital income meaning if i make a', 'start': 1767.84, 'duration': 4.959}
{'text': 'million dollars in ordinary income and i', 'start': 1770.72, 'duration': 5.199}
{'text': 'lose 500 000 in investment income', 'start': 1772.799, 'duration': 5.6}
{'text': "i can't write off that 500 000 loss on", 'start': 1775.919, 'duration': 3.281}
{'text': 'my ordinary', 'start': 1778.399, 'duration': 2.481}
{'text': 'income that only applies to future', 'start': 1779.2, 'duration': 3.28}
{'text': 'capital gains i can carry it forward', 'start': 1780.88, 'duration': 3.039}
{'text': 'year after year after year but it only', 'start': 1782.48, 'duration': 2.72}
{'text': "applies to my capital gains it doesn't", 'start': 1783.919, 'duration': 2.561}
{'text': 'apply to my ordinary income', 'start': 1785.2, 'duration': 2.959}
{'text': "there's one exception to this apparently", 'start': 1786.48, 'duration': 2.88}
{'text': 'or there might be multiple exceptions', 'start': 1788.159, 'duration': 2.4}
{'text': 'but one exception to this', 'start': 1789.36, 'duration': 4.0}
{'text': 'is if you walk away from capital and you', 'start': 1790.559, 'duration': 4.161}
{'text': 'declare it like a complete and total', 'start': 1793.36, 'duration': 1.84}
{'text': '[\xa0__\xa0]', 'start': 1794.72, 'duration': 2.48}
{'text': "loss there's like a way that you can", 'start': 1795.2, 'duration': 3.839}
{'text': 'file that makes it so that you can take', 'start': 1797.2, 'duration': 2.24}
{'text': 'that', 'start': 1799.039, 'duration': 2.801}
{'text': 'loss and you can apply it this capital', 'start': 1799.44, 'duration': 4.16}
{'text': 'loss you can apply it up towards your', 'start': 1801.84, 'duration': 4.0}
{'text': 'ordinary income for a deduction there', 'start': 1803.6, 'duration': 4.079}
